Procedure Summary

Plate Type	Costar 96 white opaque
Read	Read:  (F) Emission Spectrum [380nm to 670nm by 1]

Field Group

			
			
			

EM Spectrum

Wavelength	A1	A5	A8	A12	C2	C5	C7	C8	C9	C10	E3	E5	E6	E7	E8	E9	E11	G1	G4	G6	G8	G9	G11	G12
541	36	75	60	24	18	174	59	23	273	34	35	64	282	66	30	104	33	60	282	268	50	108	39	31
542	37	66	50	30	20	168	57	26	277	31	41	70	298	71	26	104	32	65	286	276	48	102	41	26
543	37	69	50	29	21	170	60	29	282	29	40	65	300	78	31	106	30	65	284	263	43	107	35	30
544	43	75	49	26	15	159	61	29	275	38	36	62	293	90	28	111	28	67	297	287	52	98	33	32
545	44	75	45	26	16	163	71	28	270	31	43	76	309	95	29	111	26	71	288	294	43	104	35	38
546	42	73	48	26	23	164	75	38	291	35	35	65	316	105	34	108	31	71	302	276	47	96	36	41
547	47	70	46	29	17	165	82	36	272	28	37	72	299	118	31	110	28	76	313	289	52	103	37	44
548	48	77	52	27	22	154	85	35	263	34	33	72	305	127	27	107	30	59	301	291	46	93	43	45
549	47	70	52	28	18	169	86	39	284	34	31	79	309	132	32	113	23	62	313	288	48	113	39	47
550	52	77	51	32	18	149	95	39	264	35	34	62	299	137	30	117	22	57	318	300	47	89	40	53
551	47	77	50	27	20	152	100	39	286	33	33	71	324	138	31	108	29	61	308	296	39	102	34	54
552	52	84	58	30	20	161	104	41	278	37	28	71	307	150	34	105	26	65	312	294	50	86	37	49
553	54	72	47	32	20	153	110	46	255	37	35	71	315	144	32	113	26	62	314	288	45	96	35	56
554	51	74	55	30	23	159	123	42	254	27	33	77	318	159	34	117	23	64	319	295	45	84	38	58
555	59	74	46	34	19	155	119	42	267	36	38	72	303	169	32	107	22	66	321	305	41	103	34	61
556	53	73	51	31	21	151	121	50	257	31	37	72	317	171	30	107	25	68	328	302	41	90	39	54
557	56	80	60	32	21	147	135	48	247	35	31	70	315	181	41	103	25	62	318	308	50	73	40	60
558	54	69	52	32	20	154	139	43	252	37	26	75	301	177	33	105	30	59	321	312	43	81	39	74
559	56	77	52	29	23	151	144	50	261	31	30	71	304	189	34	97	25	59	332	316	42	83	46	65
560	52	81	48	31	19	158	142	50	238	35	33	80	302	189	37	97	27	63	338	322	44	86	44	63
561	56	73	57	33	24	150	148	49	246	33	27	87	304	193	38	105	24	59	335	307	51	82	41	61
562	57	76	51	36	23	138	175	48	234	36	29	67	301	191	34	109	20	64	342	323	47	84	37	62
563	60	82	50	34	22	133	177	49	231	30	33	79	294	211	36	94	30	56	360	319	48	83	42	62
564	52	79	58	34	22	136	175	53	237	41	25	75	317	214	36	104	21	64	349	320	48	78	40	66
565	56	84	58	32	26	133	163	50	213	32	25	79	305	228	33	100	26	54	342	323	50	77	39	71
566	58	75	58	32	19	149	177	61	242	32	23	71	305	239	35	91	21	55	340	332	46	75	46	66
567	57	73	56	33	25	134	184	62	238	35	22	74	287	254	42	101	16	58	351	317	47	74	44	75
568	62	78	54	36	24	130	189	64	228	35	30	81	302	285	42	92	23	57	365	323	46	87	36	74
569	63	68	57	32	23	133	189	58	211	29	25	82	298	306	41	94	21	52	356	333	49	73	37	79
570	64	73	63	36	22	139	190	69	223	38	23	76	301	304	42	100	22	62	362	342	46	75	30	81
571	67	76	45	32	27	141	207	59	218	38	23	74	278	329	40	89	22	54	351	353	42	72	37	85
572	64	77	51	35	27	129	221	68	225	37	23	90	292	343	39	91	12	56	374	349	49	74	39	93
573	62	80	52	35	24	124	237	73	224	39	22	79	304	392	40	92	20	60	361	349	45	73	42	88
574	69	91	55	40	26	123	202	70	216	36	30	74	296	384	42	87	20	61	361	364	42	78	33	103
575	65	76	54	35	24	129	229	70	219	38	22	75	297	417	38	77	26	50	373	354	45	67	37	114
576	72	68	59	34	19	120	241	74	196	46	29	75	275	442	43	85	17	58	370	343	45	61	46	125
577	69	65	52	36	24	123	238	73	213	39	26	75	288	446	47	88	19	54	384	346	47	66	36	127
578	71	82	55	35	27	127	254	75	194	27	19	79	286	497	42	87	18	50	380	354	40	72	39	151
579	74	80	55	38	24	112	268	77	189	38	26	75	297	543	41	86	16	47	393	367	45	58	37	148
580	72	81	63	32	23	131	262	76	189	39	22	79	295	554	41	78	19	49	387	334	40	64	38	154
581	83	83	57	41	19	114	270	92	206	45	27	75	284	565	38	94	18	55	367	372	48	61	38	160
582	84	74	55	37	23	110	267	85	196	40	17	76	280	604	43	87	21	52	398	358	47	60	41	168
583	85	79	48	33	25	111	262	97	207	36	20	81	286	648	44	90	20	48	402	372	48	64	33	195
584	83	87	58	33	27	120	273	97	185	40	18	77	279	656	43	82	18	48	393	377	42	56	37	201
585	88	82	56	38	23	111	273	87	176	34	22	79	290	644	43	92	19	49	388	357	48	59	29	216
586	81	77	55	39	27	117	274	96	191	33	19	82	280	675	48	81	17	41	378	372	44	57	39	213
587	84	76	57	38	25	113	284	102	174	32	18	81	272	712	49	84	16	49	392	389	53	54	35	230
588	86	87	50	36	30	106	289	93	191	35	23	81	273	691	47	85	15	45	406	367	49	50	43	242
589	90	69	60	43	27	108	286	94	167	35	19	80	276	689	41	85	15	48	390	373	37	69	44	246
590	96	74	62	38	25	113	279	101	183	36	17	77	267	714	47	75	17	47	408	388	54	38	35	269
591	91	90	55	38	26	113	277	101	176	36	12	82	294	669	45	74	13	48	395	377	40	59	43	272
592	86	88	52	36	28	93	283	100	172	38	23	81	273	692	45	76	22	48	411	387	46	56	40	279
593	95	84	57	39	25	103	286	94	167	41	18	78	286	707	46	78	19	44	412	365	43	47	47	276
594	92	84	55	47	26	102	280	104	171	38	27	82	274	684	41	74	9	46	405	374	49	49	37	290
595	88	89	62	35	26	87	268	112	167	39	19	75	277	690	46	72	14	40	411	383	44	54	36	285
596	84	83	49	40	25	99	274	100	174	41	21	86	257	651	42	77	20	45	422	378	44	52	44	313
597	87	76	58	43	30	94	288	104	168	37	20	85	276	679	42	78	21	47	429	370	50	46	48	293
598	97	85	55	42	24	89	270	104	163	38	16	79	272	640	49	72	15	33	421	387	48	44	43	315
599	94	90	54	35	35	104	277	105	145	38	21	75	260	654	51	60	18	39	416	405	48	61	41	316
600	88	84	50	42	27	87	296	103	159	42	12	83	279	635	51	67	18	46	416	397	48	50	33	306
601	93	80	55	30	24	90	265	104	158	43	21	94	293	619	43	73	11	34	434	393	47	56	41	304
602	89	84	51	38	23	96	269	89	155	39	17	74	261	622	55	75	23	45	430	397	49	44	45	326
603	83	83	56	40	27	87	269	98	156	31	17	82	257	584	48	70	15	40	425	409	48	48	36	295
604	92	81	52	36	26	93	254	101	155	37	17	81	268	555	51	65	17	31	457	405	40	49	35	296
605	85	86	59	38	30	94	275	92	158	52	16	88	279	586	45	57	16	40	437	406	48	52	43	287
606	90	80	54	36	28	81	253	93	145	39	11	82	293	559	48	53	15	41	426	411	50	50	46	312
607	87	74	52	33	26	87	261	94	134	38	20	95	261	553	49	65	15	37	450	428	51	41	31	312
608	91	94	61	39	31	82	238	89	145	39	14	87	262	511	50	62	13	42	448	404	55	40	39	305
609	87	87	48	41	24	89	240	89	142	39	20	87	268	496	45	58	20	35	440	427	55	44	47	293
610	83	84	50	36	26	76	262	91	139	37	11	85	268	494	52	59	11	35	443	402	40	44	42	279
611	78	71	51	41	22	84	227	80	134	43	16	91	277	500	49	60	11	33	439	392	48	30	37	290
612	75	82	70	36	24	83	232	80	139	33	11	87	275	436	38	61	11	37	443	409	40	44	34	254
613	78	94	48	43	26	84	230	87	140	40	17	86	253	454	50	56	11	30	450	407	39	44	40	235
614	79	75	44	39	26	75	234	74	134	37	16	90	256	414	48	64	12	35	450	415	43	38	38	249
615	77	86	61	44	25	80	222	85	132	32	13	86	257	406	43	56	11	32	454	430	44	23	33	248
616	82	75	47	35	19	77	220	77	114	39	13	85	258	372	51	54	9	38	460	404	44	38	48	241
617	87	95	53	40	30	65	210	69	107	36	15	81	264	389	46	52	11	33	452	414	49	41	38	232
618	86	94	51	36	20	72	216	75	123	33	18	83	253	350	49	59	11	31	442	407	38	38	35	246
619	77	76	49	41	24	70	211	76	130	40	9	93	247	327	47	57	18	34	445	414	44	42	44	198
620	76	87	46	37	24	69	201	73	117	34	17	86	251	320	43	46	14	25	464	423	36	37	33	206
621	71	83	54	41	23	69	214	64	124	41	16	88	227	323	50	45	14	30	446	415	57	25	38	205
622	73	95	54	38	28	59	188	70	124	37	12	80	238	292	46	49	20	35	466	426	41	41	36	196
623	75	84	45	38	23	78	223	67	120	35	11	86	252	302	45	55	14	35	473	405	44	32	35	190
624	78	84	55	42	26	73	199	69	118	32	13	92	251	290	48	48	11	29	447	416	45	26	31	204
625	81	89	48	40	29	65	181	63	107	32	7	90	245	292	42	48	15	24	455	435	45	28	39	193
626	80	81	50	37	29	63	219	66	110	35	14	101	250	260	48	49	13	34	470	416	40	32	43	171
627	75	85	53	47	25	65	208	58	104	38	19	85	250	253	40	42	15	31	462	418	51	33	30	172
628	82	92	55	45	27	63	190	69	111	34	5	87	269	240	50	50	16	25	470	429	44	29	33	171
629	77	79	50	42	26	65	207	64	97	35	13	89	242	244	40	53	10	35	459	421	39	34	31	158
630	75	94	61	44	28	59	206	65	102	36	10	88	264	239	43	47	16	25	452	426	38	34	33	157
631	71	86	47	43	31	66	207	54	111	38	8	89	245	246	45	48	12	31	515	431	38	25	41	161
632	71	87	51	36	26	57	192	52	107	33	15	87	241	219	49	42	15	30	500	436	41	28	36	150
633	71	78	45	43	26	66	204	54	98	42	6	101	235	201	44	43	9	25	482	424	43	27	37	144
634	68	88	51	35	25	59	196	54	98	39	10	87	249	207	44	47	8	25	454	412	40	31	30	141
635	67	78	38	39	23	64	193	55	93	29	13	109	239	201	48	45	16	29	492	428	44	29	45	132
636	62	87	52	37	22	62	181	54	96	40	13	94	241	204	46	48	17	39	474	416	44	30	37	133
637	84	92	44	38	25	56	211	53	97	31	10	97	247	186	45	40	12	28	475	414	36	32	31	124
638	83	109	46	31	22	63	198	45	86	36	10	85	234	183	49	46	10	27	485	415	40	24	29	130
639	75	81	50	36	19	55	186	45	92	32	12	79	244	171	45	39	11	30	463	426	34	29	36	128
640	74	80	56	33	24	53	169	48	95	30	7	87	235	169	48	47	11	24	480	402	38	32	50	120
641	78	82	48	35	25	47	190	47	84	32	7	83	234	161	51	43	16	20	459	456	44	33	41	110
642	70	85	50	40	27	47	190	49	77	39	12	93	256	142	44	34	7	27	455	440	36	19	40	115
643	73	81	53	37	26	55	187	38	69	31	6	87	222	149	47	47	12	23	496	439	34	38	30	106
644	73	88	51	39	23	47	179	41	86	38	10	88	251	152	40	38	13	19	466	439	42	23	27	119
645	66	83	53	36	25	47	171	39	87	30	10	83	221	132	48	37	9	31	476	429	33	32	35	108
646	69	73	46	35	20	46	170	40	74	36	12	92	226	126	47	40	13	16	472	436	37	31	35	106
