Procedure Summary

Plate Type	Costar 96 white opaque
Read	Read:  (F) Emission Spectrum [380nm to 670nm by 1]

Field Group

			
			
			

EM Spectrum

Wavelength	A1	A3	A5	A7	A9	C1	C3	C7	C9	C11	E1	E3	E5	E7	E9	E11	G1	G7	G9	G11
648	32	139	161	260	97	36	92	84	87	257	41	481	107	77	43	9	368	90	47	29
649	36	140	167	247	93	41	71	80	90	255	50	474	107	73	37	7	334	103	51	17
650	27	132	158	221	93	36	72	79	82	218	52	462	99	71	34	9	367	96	43	17
651	29	141	153	235	87	37	76	85	81	245	39	439	90	69	36	7	349	96	49	24
652	25	124	154	218	85	36	64	79	72	194	41	386	90	72	34	9	347	97	37	23
653	31	123	151	204	84	36	84	79	77	217	43	411	104	67	35	6	293	97	38	25
654	28	120	154	211	80	28	68	90	80	212	34	410	91	66	34	10	292	100	42	20
655	30	118	133	210	83	32	65	86	65	192	44	381	94	61	38	8	300	100	39	21
656	26	120	122	198	88	27	67	83	66	197	44	366	84	57	34	7	250	108	40	17
657	30	105	129	192	79	33	69	96	64	194	39	367	88	71	29	5	290	94	43	21
658	34	106	125	194	88	32	55	80	65	179	37	361	81	65	40	5	261	108	33	20
659	30	108	113	176	68	21	57	87	51	170	38	315	85	50	32	6	260	102	33	14
660	27	102	115	163	65	30	65	90	64	174	47	329	84	52	36	7	254	100	35	18
661	29	97	121	173	76	29	68	89	63	168	39	320	78	53	31	6	233	99	33	20
662	28	105	113	149	61	23	56	87	56	168	38	319	76	50	36	5	225	97	29	25
663	29	94	101	160	69	22	60	89	58	159	35	309	76	50	26	8	221	87	32	22
664	32	83	99	136	67	26	52	79	53	157	32	274	67	45	31	9	198	101	23	19
665	24	83	92	144	58	21	56	91	51	163	37	257	75	50	28	7	208	96	35	15
666	35	71	102	123	71	20	50	77	47	155	41	275	68	50	35	6	194	104	25	16
667	30	87	86	127	57	23	52	87	45	154	39	240	68	36	35	5	206	100	26	22
668	25	76	91	126	56	22	61	79	47	141	35	239	64	36	31	6	187	97	29	14
669	33	74	84	126	61	19	53	93	45	141	37	224	52	43	26	4	190	108	26	16
670	29	76	94	105	54	19	52	79	39	139	35	209	52	40	36	5	175	95	26	17

