Procedure Summary

Plate Type	Costar 96 white opaque
Read	Read:  (F) Emission Spectrum [380nm to 670nm by 1]

Field Group

			
			
			

EM Spectrum

Wavelength	C3	A5	A7	C7	E7	G7	A9	C9	A11	E11
646	809	4	31	10	1078	20	16	350	15	9
647	821	4	30	10	1107	17	14	342	14	15
648	822	5	27	11	1114	20	15	342	20	8
649	841	2	28	9	1124	19	13	332	15	13
650	816	12	29	11	1128	15	17	343	12	12
651	843	4	26	9	1163	17	14	323	17	9
652	812	3	20	9	1104	19	13	334	14	9
653	852	5	26	14	1155	20	16	343	15	13
654	823	7	25	9	1129	18	12	340	21	13
655	850	8	27	13	1109	21	15	349	9	11
656	831	0	26	9	1160	20	14	341	12	10
657	871	12	28	7	1128	20	11	336	14	15
658	861	0	26	11	1141	19	12	326	12	12
659	843	6	24	15	1150	16	16	327	14	7
660	854	5	28	8	1171	20	15	325	10	9
661	835	6	27	14	1182	20	14	331	17	12
662	856	0	27	6	1187	15	12	332	10	12
663	847	2	16	14	1160	20	15	331	12	8
664	838	0	31	3	1166	18	15	340	17	10
665	841	2	25	12	1115	18	16	341	13	15
666	839	8	29	9	1143	17	17	324	13	7
667	834	3	31	4	1168	22	10	329	11	13
668	847	0	25	6	1123	19	16	317	10	17
669	844	1	33	7	1136	18	15	372	8	5
670	823	0	27	3	1133	16	17	363	12	15

